"Date","#1","#2","#3","#4","#5","#6","S1","S2"
"16/08/14","2","3","15","16","18","24","25","31"
"09/08/14","23","26","27","30","31","41","16","38"
"02/08/14","7","10","12","26","30","36","15","32"
"26/07/14","5","7","12","28","40","45","20","37"
"19/07/14","4","8","13","27","28","42","6","26"
"12/07/14","1","3","15","19","42","44","36","37"
"05/07/14","5","7","14","20","31","39","18","27"
"28/06/14","1","17","20","40","42","44","5","30"
"21/06/14","1","12","28","31","32","34","8","24"
"14/06/14","11","13","16","19","27","35","24","36"
"07/06/14","1","19","20","36","38","41","10","29"
"31/05/14","1","13","20","26","37","45","22","27"
"24/05/14","11","13","28","37","43","45","26","27"
"17/05/14","8","9","22","25","36","42","28","33"
"10/05/14","10","13","16","22","39","45","2","9"
"03/05/14","1","12","14","19","37","41","7","23"
"26/04/14","12","20","24","32","39","45","3","29"
"19/04/14","3","7","17","23","25","26","10","15"
"12/04/14","13","18","20","21","28","45","23","41"
"05/04/14","1","22","24","29","36","39","6","45"
"29/03/14","10","21","22","26","29","41","25","27"
"22/03/14","4","12","18","19","29","33","17","43"
"15/03/14","13","33","36","38","39","43","20","41"
"08/03/14","3","19","27","38","40","42","12","17"
"01/03/14","4","13","33","35","39","45","14","29"
"22/02/14","8","12","15","25","26","45","23","28"
"15/02/14","6","27","28","32","39","40","1","34"
"08/02/14","6","15","17","21","22","42","18","30"
"01/02/14","11","16","32","40","41","45","7","28"
"25/01/14","30","35","36","37","42","43","5","14"
"18/01/14","1","9","10","13","27","39","15","28"
"11/01/14","7","14","23","27","38","40","4","8"
"04/01/14","5","6","10","28","32","40","29","37"
"28/12/13","17","22","24","25","26","40","13","30"
"21/12/13","1","3","10","17","20","35","24","34"
"14/12/13","4","9","14","22","42","45","11","21"
"07/12/13","3","7","28","31","38","41","15","37"
"30/11/13","24","27","30","37","43","45","21","22"
"23/11/13","5","7","20","30","31","39","9","22"
"16/11/13","5","8","15","32","36","39","9","42"
"09/11/13","2","16","20","27","28","32","7","8"
"02/11/13","2","5","23","32","40","43","34","35"
"26/10/13","9","13","16","21","33","44","11","20"
"19/10/13","5","20","27","31","37","42","3","38"
"12/10/13","3","9","33","34","39","41","8","38"
"05/10/13","6","8","11","21","27","31","19","30"
"28/09/13","1","13","21","27","34","37","15","45"
"21/09/13","1","2","5","16","19","42","10","37"
"14/09/13","3","11","20","28","34","40","25","39"
"07/09/13","1","11","12","15","25","36","17","33"
"31/08/13","15","18","26","28","39","41","11","42"
"24/08/13","12","15","16","37","42","45","6","9"
"17/08/13","5","27","33","35","42","45","4","16"
"10/08/13","8","18","21","23","27","37","6","22"
"03/08/13","1","14","24","26","30","37","10","20"
"27/07/13","6","25","27","29","38","41","43","45"
"20/07/13","1","3","9","12","22","29","18","37"
"13/07/13","5","9","14","27","37","40","18","38"
"06/07/13","3","8","19","26","29","43","7","11"
"29/06/13","11","22","25","26","31","42","1","8"
"22/06/13","13","17","18","20","21","43","5","36"
"15/06/13","1","4","15","16","17","21","40","42"
"08/06/13","7","8","10","25","28","42","35","39"
"01/06/13","12","15","30","37","40","44","16","45"
"25/05/13","1","15","16","20","31","36","2","38"
"18/05/13","3","6","14","16","25","31","9","35"
"11/05/13","16","30","32","35","38","41","39","45"
"04/05/13","2","12","13","20","30","35","1","7"
"27/04/13","8","15","18","33","40","43","14","25"
"20/04/13","7","10","28","34","41","44","8","14"
"13/04/13","2","4","6","9","37","44","18","23"
"06/04/13","19","20","21","23","25","43","2","8"
"30/03/13","4","29","33","40","41","43","2","3"
"23/03/13","2","3","12","13","16","30","5","17"
"16/03/13","4","24","25","29","32","43","26","38"
"09/03/13","7","10","12","28","44","45","3","35"
"02/03/13","11","13","18","20","42","43","12","30"
"23/02/13","6","8","13","29","34","39","9","20"
"16/02/13","1","6","16","17","18","34","13","33"
"09/02/13","8","29","30","33","36","41","9","23"
"02/02/13","5","18","29","31","44","45","12","38"
"26/01/13","6","12","25","36","39","43","8","18"
"19/01/13","4","11","14","16","19","25","18","34"
"12/01/13","2","6","11","15","31","34","16","30"
"05/01/13","20","28","30","31","32","37","1","34"
"29/12/12","7","14","15","25","35","37","3","20"
"22/12/12","1","4","10","17","29","45","5","38"
"15/12/12","5","7","9","16","20","41","6","11"
"08/12/12","6","13","16","33","36","41","4","15"
"01/12/12","11","17","25","30","40","41","32","42"
"24/11/12","17","26","30","32","42","43","6","12"
"17/11/12","5","8","11","20","29","33","28","38"
"10/11/12","1","4","25","27","40","41","26","37"
"03/11/12","7","12","20","31","38","43","6","25"
"27/10/12","5","6","25","33","34","44","23","31"
"20/10/12","10","25","26","27","32","35","12","16"
"13/10/12","2","11","13","15","26","40","30","32"
"06/10/12","18","20","23","32","40","42","3","33"
"29/09/12","9","10","16","25","32","34","40","44"
"22/09/12","1","17","19","32","34","45","22","38"
"15/09/12","2","11","19","23","32","34","10","39"
"08/09/12","4","5","7","15","35","38","1","30"
"01/09/12","9","19","24","28","29","31","5","15"
"25/08/12","4","17","21","27","28","30","8","25"
"18/08/12","10","11","15","30","34","36","16","19"
"11/08/12","21","22","27","31","32","38","10","16"
"04/08/12","16","19","20","37","39","43","3","27"
"28/07/12","1","27","28","33","37","42","17","29"
"21/07/12","3","6","7","9","23","43","14","25"
"14/07/12","17","30","36","41","42","45","20","35"
"07/07/12","2","15","21","31","37","38","6","29"
"30/06/12","8","30","32","33","37","40","14","34"
"23/06/12","2","16","19","29","30","31","10","11"
"16/06/12","16","18","25","35","36","40","2","21"
"09/06/12","1","4","16","26","27","32","31","40"
"02/06/12","6","17","18","31","36","43","13","33"
"26/05/12","10","13","22","36","37","38","28","42"
"19/05/12","9","12","28","29","32","41","2","21"
"12/05/12","1","2","14","16","19","45","23","30"
"05/05/12","7","9","12","15","27","40","4","11"
"28/04/12","4","5","12","23","31","33","3","9"
